# q qerr I(q) I(q)err
4.105717491102069128e-02 7.111181249420595236e-05 1.403599088838268756e+02 1.227526860700494815e+01
4.129381576814993016e-02 6.732684386414472533e-05 1.404452380952380963e+02 1.221749192115703586e+01
4.152473579130346731e-02 6.726668318915885337e-05 1.385636792452830264e+02 1.175505153753285192e+01
4.175787959977999425e-02 6.911235940839533670e-05 1.365570776255707699e+02 1.258002966735275585e+01
4.199237839299468922e-02 6.860112016482474860e-05 1.364239631336405409e+02 1.203168002819190896e+01
4.222717975068539242e-02 7.045110183040372183e-05 1.353008849557522240e+02 1.192550443553549044e+01
4.246249924109424950e-02 6.709506009279194230e-05 1.316887871853546983e+02 1.171411593888901059e+01
4.269335040669582776e-02 6.700621335665329654e-05 1.307334851936218740e+02 1.090030941995122760e+01
4.292717084091476204e-02 6.896437123237502613e-05 1.298827433628318602e+02 1.198013364212478749e+01
4.316007288560289035e-02 6.735835804845247382e-05 1.296446469248291464e+02 1.173669067062542126e+01
4.339440191910803879e-02 7.037245596857638261e-05 1.271450216450216431e+02 1.120938349299975556e+01
4.363144753970988471e-02 6.826143681517027339e-05 1.256651884700665249e+02 1.076272089579678592e+01
4.386107962274469335e-02 6.624164794214468591e-05 1.246490825688073443e+02 1.106506597935658576e+01
4.409573705596323001e-02 7.170940769140793695e-05 1.236939203354297661e+02 1.136704257012361730e+01
4.433534367545302612e-02 6.775590854826653211e-05 1.220372807017543835e+02 1.102393762124638421e+01
4.456682912223779158e-02 6.610492296161660122e-05 1.208861607142857082e+02 1.071715084459322576e+01
4.479780304487864656e-02 6.786442677967826091e-05 1.193216630196936592e+02 1.103317428441186721e+01
4.503013318854280633e-02 6.853635641818868680e-05 1.187254901960784252e+02 1.111184349758486611e+01
4.526436263630335272e-02 6.918514626283685297e-05 1.181070663811563151e+02 1.092045933132468427e+01
4.549984770861909000e-02 6.833630877532204714e-05 1.155760171306209827e+02 1.099889301505980654e+01
4.573057769171592901e-02 6.540293680537103750e-05 1.147839643652561250e+02 1.125220379382663261e+01
4.596282480080345761e-02 6.990247096589263711e-05 1.138347280334727998e+02 1.047888674684963561e+01
4.619732296389236076e-02 6.786250507108923557e-05 1.121233766233766289e+02 1.039460513057341018e+01
4.643258444511101646e-02 7.033191385126720280e-05 1.114164948453608304e+02 9.516700950519211943e+00
4.666845704786030252e-02 6.692058153033048496e-05 1.097780172413793167e+02 1.017115531373752901e+01
4.689934413756127740e-02 6.802189408205146866e-05 1.084798301486199534e+02 1.025285815016840019e+01
4.713438507358027468e-02 6.944147399833233919e-05 1.071632231404958731e+02 1.003972158448067020e+01
4.736795136815064727e-02 6.656957436849283657e-05 1.060706638115631648e+02 1.040494228205989025e+01
4.759859747438226207e-02 6.769763208725077138e-05 1.051284210526315803e+02 1.004058026597877173e+01
4.783274694655795245e-02 6.928267493286968941e-05 1.042804123711340196e+02 1.042480629303058492e+01
4.806634396749334681e-02 6.807281927440189521e-05 1.026464435146443464e+02 1.003736694263946561e+01
4.830248047396420996e-02 6.966332651828869844e-05 1.016088709677419359e+02 1.002474054835907857e+01
4.853643200824572096e-02 6.606102041943429451e-05 1.005517970401691343e+02 9.304745745141303814e+00
4.876414520816241271e-02 6.613248851928526920e-05 9.946284501061570893e+01 1.005489841992569389e+01
4.899792577344610350e-02 7.109046729717630826e-05 9.808910891089108475e+01 9.995749513293960220e+00
4.923470399315162116e-02 6.843725681761876167e-05 9.718312757201645979e+01 1.001828418706534585e+01
4.947209300203903731e-02 7.062440267994869150e-05 9.617612524461839030e+01 9.769788975244056317e+00
4.970767414357019076e-02 6.568520737628115111e-05 9.494154488517744994e+01 9.542488744766099984e+00
4.993955421601320444e-02 6.870069007268534431e-05 9.349699398797595506e+01 8.970251713388146086e+00
5.017343134654914799e-02 6.784437425331957467e-05 9.200000000000000000e+01 9.860850046337974462e+00
5.040364307755263590e-02 6.549987049623397846e-05 9.165072765072764582e+01 9.129351464144042083e+00
5.063525219032424807e-02 6.906177440634427543e-05 9.083003952569170281e+01 9.381696653183901446e+00
5.087248401921887209e-02 6.982607771126056830e-05 8.923333333333333428e+01 8.735376201722564460e+00
5.110824603904627617e-02 6.828347019243583200e-05 8.742514970059880852e+01 9.532784931479694635e+00
5.134041616444540157e-02 6.749734166748146504e-05 8.749599999999999511e+01 9.011158416097234891e+00
5.157233759481640728e-02 6.701141620730611365e-05 8.606012024048095554e+01 9.397293827939474653e+00
5.180603234918396832e-02 6.902301690403682475e-05 8.510331384015594836e+01 9.041665271276135840e+00
5.204093912643181080e-02 6.858285367200194556e-05 8.358153241650295229e+01 8.938718228583068637e+00
5.227550176404114485e-02 6.841128413638082530e-05 8.296491228070175339e+01 9.257875140212295406e+00
5.250874134631969281e-02 6.710124584087647154e-05 8.188362919132150353e+01 9.170101678597525563e+00
5.273983379343173683e-02 6.699865505256583098e-05 8.082504970178926840e+01 9.564204868067617937e+00
5.297309563147201833e-02 7.004200559247158596e-05 8.005313092979126566e+01 8.410999108637133403e+00
5.320870841843343413e-02 6.736639692893721994e-05 7.862622309197651305e+01 9.338831125883384487e+00
5.344158726524587955e-02 6.810737650478912789e-05 7.799036608863198694e+01 8.557292149598920261e+00
5.367526270033567970e-02 6.805918753122887452e-05 7.660886319845857884e+01 8.897208768912951982e+00
5.391026527670270824e-02 6.883326900963864436e-05 7.594106463878327418e+01 8.561465759296511990e+00
5.414369868353056253e-02 6.749358219613563344e-05 7.522350674373795698e+01 8.270160947015352093e+00
5.437486949081267451e-02 6.641570492905651368e-05 7.393968871595330938e+01 9.040878848213534269e+00
5.460633195359332337e-02 6.803263502740879241e-05 7.305513307984790572e+01 8.622463397729170254e+00
5.484155575107002578e-02 6.931669974032373370e-05 7.224719101123595522e+01 8.553819259719908530e+00
5.507758596231705078e-02 6.905344121730599505e-05 7.130393996247654798e+01 8.728558899475672206e+00
5.531123208233620220e-02 6.772891677133621323e-05 6.994318181818181301e+01 8.355074514606563696e+00
5.554365515600671876e-02 6.719762712666427933e-05 6.889142857142857679e+01 7.961060333438825687e+00
5.577734969999190856e-02 6.950070055363419556e-05 6.802025782688765787e+01 8.063833431839208643e+00
5.601099427749139242e-02 6.700515619549475674e-05 6.702285714285714846e+01 8.002945716175664970e+00
5.624621814925619134e-02 7.010497752434535551e-05 6.642960288808664870e+01 7.786198114288648497e+00
5.648196424828423601e-02 6.688681858197991978e-05 6.559887005649717651e+01 8.097238397438575319e+00
5.671540211382259528e-02 6.857993554508776460e-05 6.455064456721915178e+01 7.830255802214838745e+00
5.695057597478152267e-02 6.911508132478911160e-05 6.354909090909090708e+01 7.704275511495211504e+00
5.718334936048233286e-02 6.546013463055807180e-05 6.272485768500948922e+01 7.503551242990785575e+00
5.741421041024297178e-02 6.793445858109002969e-05 6.235948905109489004e+01 7.690469519754953076e+00
5.764613918380164653e-02 6.637197386990278968e-05 6.081460674157303714e+01 7.486749927935397508e+00
5.788167249397389164e-02 7.061552392955100337e-05 6.007922535211267956e+01 7.799367309626475731e+00
5.811737136754223376e-02 6.704761694123777174e-05 5.961552680221811329e+01 7.689641242801976695e+00
5.834837921127641880e-02 6.699294913716081861e-05 5.838786764705882604e+01 7.370892150352498007e+00
5.858116591208732682e-02 6.832957605342608631e-05 5.812050359712230119e+01 7.282709241041429138e+00
5.881666226357543104e-02 6.848621822711322728e-05 5.670125223613595722e+01 7.876712168776455414e+00
5.905135363872197202e-02 6.777347974127791586e-05 5.616967509025270999e+01 7.217635368926883288e+00
5.928387195222793726e-02 6.772469370990553635e-05 5.493525179856115415e+01 7.045152973885223879e+00
5.951647621897535045e-02 6.683838279782646321e-05 5.350090744101633078e+01 7.508404299497970946e+00
5.974911582084686118e-02 6.869520850335110538e-05 5.330796460176991047e+01 7.378001518973233530e+00
5.998323909506843993e-02 6.775808722689177679e-05 5.308050089445438147e+01 6.819741148992077839e+00
6.021684065425213228e-02 6.821508261215899929e-05 5.156460176991150490e+01 7.090122337170903677e+00
6.045118304879574384e-02 6.844978444519072473e-05 5.066373239436619969e+01 7.022027291903420121e+00
6.068596061100132305e-02 6.815720570038588807e-05 5.020494699646643255e+01 6.972488984721357141e+00
6.092170969789185986e-02 6.974114108008298168e-05 4.943396226415094219e+01 7.039296889767340026e+00
6.115588848048909842e-02 6.553171796432443320e-05 4.851444043321299660e+01 6.884149496528606527e+00
6.138574783689496051e-02 6.713556217832948266e-05 4.778207381370825857e+01 6.620620610648735749e+00
6.161712726612254831e-02 6.659023579644488087e-05 4.747957371225577106e+01 6.609642919471417244e+00
6.184947732418764887e-02 6.842032557768410134e-05 4.626343154246100653e+01 6.285277815816121993e+00
6.208512874242018420e-02 6.932646695378516153e-05 4.532307692307692548e+01 6.628256211676383458e+00
6.232030440033373142e-02 6.786811594346220963e-05 4.499825783972125492e+01 6.701187751041068452e+00
